refArea,EndDate,StartDate,structure,Value,Observation URI,references,Month,publisher,Item Code,Year,dataset,Item
http://dbpedia.org/resource/Lebanon,4/30/2009,4/1/2009,,82.25121,http://linked.aub.edu.lb/CODEC/Lebanon/observation/consumer-price-indices-Lebanon-Consumer+Prices%2C+Food+Indices+%282015+%3D+100%29-23013-April-2009,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,April,Food and Agriculture Organization,23013,2009,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/consumer-price-indices-Lebanon,"Consumer Prices, Food Indices (2015 = 100)"
http://dbpedia.org/resource/Lebanon,4/30/2010,4/1/2010,,83.59854,http://linked.aub.edu.lb/CODEC/Lebanon/observation/consumer-price-indices-Lebanon-Consumer+Prices%2C+Food+Indices+%282015+%3D+100%29-23013-April-2010,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,April,Food and Agriculture Organization,23013,2010,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/consumer-price-indices-Lebanon,"Consumer Prices, Food Indices (2015 = 100)"
http://dbpedia.org/resource/Lebanon,4/30/2011,4/1/2011,,89.418712,http://linked.aub.edu.lb/CODEC/Lebanon/observation/consumer-price-indices-Lebanon-Consumer+Prices%2C+Food+Indices+%282015+%3D+100%29-23013-April-2011,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,April,Food and Agriculture Organization,23013,2011,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/consumer-price-indices-Lebanon,"Consumer Prices, Food Indices (2015 = 100)"
http://dbpedia.org/resource/Lebanon,4/30/2012,4/1/2012,,95.0551,http://linked.aub.edu.lb/CODEC/Lebanon/observation/consumer-price-indices-Lebanon-Consumer+Prices%2C+Food+Indices+%282015+%3D+100%29-23013-April-2012,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,April,Food and Agriculture Organization,23013,2012,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/consumer-price-indices-Lebanon,"Consumer Prices, Food Indices (2015 = 100)"
http://dbpedia.org/resource/Lebanon,4/30/2013,4/1/2013,,95.788061,http://linked.aub.edu.lb/CODEC/Lebanon/observation/consumer-price-indices-Lebanon-Consumer+Prices%2C+Food+Indices+%282015+%3D+100%29-23013-April-2013,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,April,Food and Agriculture Organization,23013,2013,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/consumer-price-indices-Lebanon,"Consumer Prices, Food Indices (2015 = 100)"
http://dbpedia.org/resource/Lebanon,4/30/2014,4/1/2014,,101.517844,http://linked.aub.edu.lb/CODEC/Lebanon/observation/consumer-price-indices-Lebanon-Consumer+Prices%2C+Food+Indices+%282015+%3D+100%29-23013-April-2014,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,April,Food and Agriculture Organization,23013,2014,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/consumer-price-indices-Lebanon,"Consumer Prices, Food Indices (2015 = 100)"
http://dbpedia.org/resource/Lebanon,4/30/2015,4/1/2015,,100.568042,http://linked.aub.edu.lb/CODEC/Lebanon/observation/consumer-price-indices-Lebanon-Consumer+Prices%2C+Food+Indices+%282015+%3D+100%29-23013-April-2015,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,April,Food and Agriculture Organization,23013,2015,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/consumer-price-indices-Lebanon,"Consumer Prices, Food Indices (2015 = 100)"
http://dbpedia.org/resource/Lebanon,4/30/2016,4/1/2016,,98.165831,http://linked.aub.edu.lb/CODEC/Lebanon/observation/consumer-price-indices-Lebanon-Consumer+Prices%2C+Food+Indices+%282015+%3D+100%29-23013-April-2016,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,April,Food and Agriculture Organization,23013,2016,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/consumer-price-indices-Lebanon,"Consumer Prices, Food Indices (2015 = 100)"
http://dbpedia.org/resource/Lebanon,4/30/2017,4/1/2017,,102.523409,http://linked.aub.edu.lb/CODEC/Lebanon/observation/consumer-price-indices-Lebanon-Consumer+Prices%2C+Food+Indices+%282015+%3D+100%29-23013-April-2017,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,April,Food and Agriculture Organization,23013,2017,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/consumer-price-indices-Lebanon,"Consumer Prices, Food Indices (2015 = 100)"
http://dbpedia.org/resource/Lebanon,4/30/2018,4/1/2018,,106.561683,http://linked.aub.edu.lb/CODEC/Lebanon/observation/consumer-price-indices-Lebanon-Consumer+Prices%2C+Food+Indices+%282015+%3D+100%29-23013-April-2018,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,April,Food and Agriculture Organization,23013,2018,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/consumer-price-indices-Lebanon,"Consumer Prices, Food Indices (2015 = 100)"
